,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
369,snejbjerg,56.14,8.9,63.0,88,70,5.82,DK,1600881567
370,quelimane,-17.88,36.89,75.2,69,20,9.17,MZ,1600881567
372,wamba,8.93,8.6,77.85,88,86,2.77,NG,1600881568
373,sarmanovo,55.26,52.59,50.0,53,17,8.95,RU,1600881568
374,marietta,33.95,-84.55,73.0,52,75,2.98,US,1600881568
375,qurbus,36.82,10.57,78.8,65,40,1.12,TN,1600881568
376,jurado,7.11,-77.76,82.24,78,100,7.7,CO,1600881568
377,shingu,33.73,135.98,68.59,80,15,6.26,JP,1600881569
378,qorveh,35.17,47.8,57.09,36,1,2.39,IR,1600881569
379,kaitangata,-46.28,169.85,48.0,74,85,4.0,NZ,1600881569
380,motygino,58.18,94.76,48.25,93,100,9.26,RU,1600881569
381,akdepe,42.06,59.38,64.4,39,0,4.7,TM,1600881286
382,coolum beach,-26.53,153.1,64.0,88,100,5.84,AU,1600881570
383,biak,-0.91,122.88,77.52,78,96,4.83,ID,1600881570
384,vanimo,-2.67,141.3,77.85,84,96,4.07,PG,1600881570
386,bria,6.54,21.99,73.45,91,97,1.34,CF,1600881570
387,buchanan,5.88,-10.05,80.31,79,26,11.23,LR,1600881570
388,pangnirtung,66.15,-65.71,41.0,35,90,13.87,CA,1600881570
389,kahului,20.89,-156.47,75.2,64,40,3.36,US,1600881562
390,abu dhabi,24.47,54.37,91.4,70,19,6.93,AE,1600881571
391,paamiut,61.99,-49.67,36.73,75,100,12.41,GL,1600881571
392,north myrtle beach,33.82,-78.68,73.99,46,1,3.36,US,1600881338
393,conakry,9.54,-13.68,86.0,74,75,13.87,GN,1600881571
394,port macquarie,-31.43,152.92,48.0,96,0,8.81,AU,1600881571
